"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
825489,"GOLIATH","UMEA UNIVERSITET","SE","Umea","participant","HES","false","303750","303750","303750","63.8256568,20.2630745"
825489,"GOLIATH","THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","US","Berkeley","participant","HES","false","339596.84","339596.84","339596.84","37.8044557,-122.2713562"
825489,"GOLIATH","KAROLINSKA INSTITUTET","SE","Stockholm","participant","HES","false","402500","402500","402500","59.3481714,18.0250493"
825489,"GOLIATH","BRUNEL UNIVERSITY LONDON","UK","Uxbridge","participant","HES","false","224017.35","224017.35","224017.35","51.5449509,-0.4816671"
825489,"GOLIATH","UNIVERSITEIT UTRECHT","NL","Utrecht","coordinator","HES","false","1268269.88","1268269.88","1268269.88","52.0851807,5.1754514"
825489,"GOLIATH","INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT","FR","Paris","participant","REC","false","798786.25","798786.25","798786.25","48.8610739,2.3059175"
825489,"GOLIATH","UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE","ES","Elche","participant","HES","false","672862.5","672862.5","672862.5","38.2653181,-0.6988487"
825489,"GOLIATH","AGENCE NATIONALE DE LA SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL","FR","Maisons Alfort","participant","REC","false","134250","134250","134250","48.8105995,2.4249395"
777111,"REPO-TRIAL","MARTIN-LUTHER-UNIVERSITAT HALLE-WITTENBERG","DE","Halle","participant","HES","false","220000","220000","220000","51.4867452,11.9684435"
777111,"REPO-TRIAL","SOMALOGIC LIMITED","UK","Chobham","participant","PRC","false","0","0","0",""
777111,"REPO-TRIAL","MUCKE HERMANN","AT","","participant","PRC","","168628.45","168628.45","168628.45","48.2043286,16.3511947"
777111,"REPO-TRIAL","TECHNISCHE UNIVERSITAET MUENCHEN","DE","Muenchen","participant","HES","false","394709.63","394709.63","394709.63","48.1499912,11.567459"
777111,"REPO-TRIAL","UNIVERSITY OF NEWCASTLE UPON TYNE","UK","Newcastle Upon Tyne","participant","HES","false","754103","754103","754103","54.9789969,-1.61365757980975"
777111,"REPO-TRIAL","MEDIZINISCHE HOCHSCHULE HANNOVER","DE","Hannover","participant","HES","false","220305.64","220305.64","220305.64","52.38359095,9.8043497513613"
777111,"REPO-TRIAL","UNIVERSITEIT MAASTRICHT","NL","Maastricht","coordinator","HES","false","2095371.96","2095371.96","2095371.96","50.8470561,5.6865553"
777111,"REPO-TRIAL","UNIVERSITY OF HAMBURG","DE","Hamburg","participant","HES","false","347335.38","347335.38","347335.38","53.5641091,9.994978875267606"
777111,"REPO-TRIAL","UNIVERSITAIR MEDISCH CENTRUM UTRECHT","NL","Utrecht","participant","HES","false","66702.3","66702.3","66702.3","52.0860132,5.1796596"
777111,"REPO-TRIAL","UNIVERSITAETSKLINIKUM ESSEN","DE","Essen","participant","HES","false","692676.14","692676.14","692676.14","51.4338421,6.9889222"
777111,"REPO-TRIAL","SYDDANSK UNIVERSITET","DK","Odense M","participant","HES","false","0","0","0","55.368644,10.428177"
777111,"REPO-TRIAL","CONCENTRIS RESEARCH MANAGEMENT GMBH","DE","Furstenfeldbruck","participant","PRC","TRUE","427026","427026","427029.14","48.1781677,11.2516145"
777111,"REPO-TRIAL","BIOCRATES LIFE SCIENCES AG","AT","Innsbruck","participant","PRC","false","149914","149914","149914","47.2065094,11.383694590035379"
953138,"EMAPS-Cardio","OSPIN GMBH","DE","Berlin","participant","PRC","TRUE","418500","418500","0","52.4837278,13.3549138"
953138,"EMAPS-Cardio","CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DEVELOPPEMENT","CH","Neuchatel","participant","REC","false","560115.5","560115.5","0","47.10267155,6.83158379644177"
